time,channel,band,power
18.4609375,AF7,theta,1.790300585265587
18.546875,AF7,theta,1.7753321057105276
18.6328125,AF7,theta,1.7002864734614331
18.71875,AF7,theta,1.6110250508739563
18.8046875,AF7,theta,1.5486063461169652
18.890625,AF7,theta,1.584383315454292
18.9765625,AF7,theta,1.6567491415180533
19.0625,AF7,theta,1.7590940707574216
19.1484375,AF7,theta,1.8286744045233545
19.234375,AF7,theta,1.8522465373814492
19.3203125,AF7,theta,1.8284168987240919
19.40625,AF7,theta,1.7756466290379707
19.4921875,AF7,theta,1.6983081318445765
19.578125,AF7,theta,1.5691015838270173
19.6640625,AF7,theta,1.4260403178343446
19.75,AF7,theta,1.2161442295167024
19.8359375,AF7,theta,1.0237770775677362
19.921875,AF7,theta,0.9498699614680568
20.0078125,AF7,theta,0.8492889969039541
20.09375,AF7,theta,0.8972222208682425
20.1796875,AF7,theta,1.0141940258170852
20.265625,AF7,theta,1.0041556345208094
20.3515625,AF7,theta,1.7045419136097937
20.4375,AF7,theta,2.37951016674384
20.5234375,AF7,theta,2.9365941359960566
0.5,AF7,alpha,1.3302745091933261
0.5859375,AF7,alpha,1.3729818475614868
0.671875,AF7,alpha,1.3985049656606112
0.7578125,AF7,alpha,1.3918913795439252
0.84375,AF7,alpha,1.3550679795596798
0.9296875,AF7,alpha,1.287268360727531
1.015625,AF7,alpha,1.2452331764790006
1.1015625,AF7,alpha,1.146131595041326
1.1875,AF7,alpha,1.1670898677482804
1.2734375,AF7,alpha,1.1858928025670539
1.359375,AF7,alpha,1.2830603030577568
1.4453125,AF7,alpha,1.3281253744208332
1.53125,AF7,alpha,1.3641167049986105
1.6171875,AF7,alpha,1.3228305314532693
1.703125,AF7,alpha,1.3254070688660118
1.7890625,AF7,alpha,1.499640198102626
1.875,AF7,alpha,1.7619111320240974
1.9609375,AF7,alpha,1.9510780894999216
2.046875,AF7,alpha,2.048938468336052
2.1328125,AF7,alpha,2.0512546027728713
2.21875,AF7,alpha,1.9546773404450895
2.3046875,AF7,alpha,1.7680710189386193
2.390625,AF7,alpha,1.543569343052817
2.4765625,AF7,alpha,1.4281899518389223
2.5625,AF7,alpha,1.4816902938998084
2.6484375,AF7,alpha,1.558963229034693
2.734375,AF7,alpha,1.5961917831955792
2.8203125,AF7,alpha,1.6116626460653394
2.90625,AF7,alpha,1.6661185102385512
2.9921875,AF7,alpha,1.732277234472023
3.078125,AF7,alpha,1.781320007715081
3.1640625,AF7,alpha,1.8443270063104336
3.25,AF7,alpha,1.9467411272303285
3.3359375,AF7,alpha,2.029248045756246
3.421875,AF7,alpha,2.0855746731149365
3.5078125,AF7,alpha,2.0444406242650657
3.59375,AF7,alpha,1.9111421999685088
3.6796875,AF7,alpha,1.6786250117092678
3.765625,AF7,alpha,1.382467322630007
3.8515625,AF7,alpha,1.1859428267528964
3.9375,AF7,alpha,1.0814350230184606
4.0234375,AF7,alpha,0.9298125606957819
4.109375,AF7,alpha,0.8401612752725679
4.1953125,AF7,alpha,0.9274277431270399
4.28125,AF7,alpha,1.0509218240964107
4.3671875,AF7,alpha,1.2078149125230646
4.453125,AF7,alpha,1.3545847507360083
4.5390625,AF7,alpha,1.4655628083663146
4.625,AF7,alpha,1.526802738286493
4.7109375,AF7,alpha,1.5377059408084457
4.796875,AF7,alpha,1.5151352262694007
4.8828125,AF7,alpha,1.4709956840030727
4.96875,AF7,alpha,1.4245913643343984
5.0546875,AF7,alpha,1.3879096562279984
5.140625,AF7,alpha,1.3468508877326453
5.2265625,AF7,alpha,1.2946837868245569
5.3125,AF7,alpha,1.2565916192188016
5.3984375,AF7,alpha,1.2427197296443273
5.484375,AF7,alpha,1.2730261154205207
