unix_ms,lsl_unix_ts,PPG1,PPG2,PPG3
1767829407029,1767829407.0269063,557.0,118199.0,57569.0
1767829407029,1767829407.0269217,559.0,118396.0,57608.0
1767829407029,1767829407.0269375,559.0,118327.0,57592.0
1767829407029,1767829407.026953,558.0,118260.0,57597.0
1767829407029,1767829407.0269687,559.0,118366.0,57580.0
1767829407029,1767829407.0269842,558.0,118305.0,57598.0
1767829407132,1767829407.1179063,560.0,118405.0,57577.0
1767829407132,1767829407.1179218,560.0,118366.0,57573.0
1767829407132,1767829407.1179376,557.0,118357.0,57600.0
1767829407132,1767829407.117953,559.0,118383.0,57596.0
1767829407132,1767829407.1179688,560.0,118386.0,57636.0
1767829407132,1767829407.1179843,560.0,118357.0,57612.0
1767829407225,1767829407.2219062,559.0,118403.0,57618.0
1767829407225,1767829407.2219217,558.0,118407.0,57603.0
1767829407226,1767829407.2219374,559.0,118453.0,57609.0
1767829407226,1767829407.221953,558.0,118353.0,57613.0
1767829407226,1767829407.2219687,561.0,118419.0,57609.0
1767829407226,1767829407.2219841,558.0,118321.0,57579.0
1767829407317,1767829407.3119063,559.0,118408.0,57614.0
1767829407317,1767829407.3119218,558.0,118381.0,57582.0
1767829407317,1767829407.3119376,559.0,118358.0,57577.0
1767829407317,1767829407.311953,560.0,118421.0,57586.0
1767829407317,1767829407.3119688,558.0,118249.0,57584.0
1767829407317,1767829407.3119843,558.0,118315.0,57579.0
1767829407406,1767829407.4019063,558.0,118368.0,57595.0
1767829407406,1767829407.4019217,559.0,118229.0,57553.0
1767829407406,1767829407.4019375,558.0,118343.0,57562.0
1767829407406,1767829407.401953,559.0,118311.0,57553.0
1767829407406,1767829407.4019687,557.0,118235.0,57568.0
1767829407406,1767829407.4019842,559.0,118155.0,57540.0
1767829407497,1767829407.4919064,559.0,118219.0,57559.0
1767829407497,1767829407.491922,559.0,118381.0,57591.0
1767829407497,1767829407.4919376,558.0,118276.0,57539.0
1767829407497,1767829407.4919531,558.0,118213.0,57558.0
1767829407497,1767829407.4919689,558.0,118268.0,57561.0
1767829407497,1767829407.4919844,559.0,118242.0,57546.0
1767829407599,1767829407.5819063,558.0,118354.0,57577.0
1767829407599,1767829407.5819218,559.0,118176.0,57519.0
1767829407600,1767829407.5819376,558.0,118255.0,57522.0
1767829407600,1767829407.581953,557.0,118232.0,57551.0
1767829407600,1767829407.5819688,557.0,118275.0,57530.0
1767829407600,1767829407.5819843,557.0,118284.0,57549.0
1767829407690,1767829407.6869063,556.0,118179.0,57560.0
1767829407690,1767829407.6869218,557.0,118295.0,57544.0
1767829407690,1767829407.6869376,557.0,118345.0,57549.0
1767829407690,1767829407.686953,559.0,118261.0,57522.0
1767829407690,1767829407.6869688,559.0,118327.0,57552.0
1767829407690,1767829407.6869843,558.0,118354.0,57563.0
1767829407778,1767829407.7769063,557.0,118255.0,57564.0
1767829407778,1767829407.7769217,558.0,118220.0,57540.0
1767829407778,1767829407.7769375,557.0,118199.0,57514.0
1767829407778,1767829407.776953,557.0,118199.0,57555.0
1767829407778,1767829407.7769687,557.0,118221.0,57559.0
1767829407778,1767829407.7769842,557.0,118190.0,57535.0
1767829407868,1767829407.8669064,559.0,118313.0,57582.0
1767829407868,1767829407.866922,558.0,118348.0,57555.0
1767829407868,1767829407.8669376,559.0,118284.0,57557.0
1767829407868,1767829407.8669531,559.0,118286.0,57549.0
1767829407868,1767829407.8669689,559.0,118322.0,57562.0
1767829407868,1767829407.8669844,557.0,118343.0,57551.0
1767829407960,1767829407.9579062,557.0,118167.0,57545.0
1767829407960,1767829407.9579217,558.0,118283.0,57556.0
1767829407960,1767829407.9579375,559.0,118321.0,57540.0
1767829407960,1767829407.957953,559.0,118298.0,57495.0
1767829407960,1767829407.9579687,559.0,118257.0,57504.0
1767829407960,1767829407.9579842,560.0,118231.0,57506.0
1767829408064,1767829408.0619063,559.0,118182.0,57481.0
1767829408065,1767829408.0619218,558.0,118072.0,57501.0
1767829408065,1767829408.0619376,559.0,118159.0,57488.0
1767829408065,1767829408.061953,557.0,118191.0,57498.0
1767829408065,1767829408.0619688,558.0,118163.0,57512.0
