unix_ms,lsl_unix_ts,X,Y,Z
1767829414905,1767829414.9029617,-2.893521547317505,3.9327967166900635,-0.6430047750473022
1767829414905,1767829414.9029808,-2.85613751411438,3.8804593086242676,-0.5158991813659668
1767829414966,1767829414.9649422,-2.983243227005005,3.5813872814178467,-0.38879358768463135
1767829414966,1767829414.9649615,-2.82623028755188,3.5066192150115967,-0.20187360048294067
1767829414966,1767829414.9649806,-3.110348701477051,3.5739104747772217,-0.20187360048294067
1767829415025,1767829415.0219424,-3.072964906692505,3.185116767883301,-0.21682719886302948
1767829415025,1767829415.0219617,-2.908475160598755,3.08044171333313,-0.2317807972431183
1767829415025,1767829415.0219808,-2.923428773880005,2.878567934036255,-0.5458064079284668
1767829415082,1767829415.0819423,-2.968289613723755,2.639310359954834,-0.6803888082504272
1767829415082,1767829415.0819616,-2.781369686126709,2.497251272201538,-0.5458064079284668
1767829415082,1767829415.0819807,-2.91595196723938,2.601926326751709,-0.5158991813659668
1767829415142,1767829415.1419423,-3.334652900695801,2.773892879486084,-0.09719839692115784
1767829415142,1767829415.1419616,-3.5215728282928467,2.676694393157959,-0.15701280534267426
1767829415143,1767829415.1419806,-3.9477503299713135,3.102871894836426,-0.19439679384231567
1767829415189,1767829415.1889422,-3.6038177013397217,3.043057680130005,-0.38131681084632874
1767829415190,1767829415.1889615,-3.334652900695801,3.5813872814178467,-0.6504815816879272
1767829415190,1767829415.1889806,-3.282315254211426,3.8804593086242676,-1.0691823959350586
1767829415253,1767829415.2499423,-3.229977607727051,3.7832608222961426,-1.271056056022644
1767829415257,1767829415.2499616,-3.215023994445801,3.4617583751678467,-1.3383471965789795
1767829415258,1767829415.2499807,-3.3795135021209717,3.312222480773926,-1.181334376335144
1767829415308,1767829415.3069422,-3.7832608222961426,3.117825508117676,-0.9719840288162231
1767829415308,1767829415.3069615,-3.8430752754211426,3.274838447570801,-0.7626336216926575
1767829415308,1767829415.3069806,-3.6935391426086426,3.289792060852051,-0.7775871753692627
1767829415367,1767829415.3669424,-3.5290496349334717,3.312222480773926,-0.7177727818489075
1767829415367,1767829415.3669617,-3.3645598888397217,3.252408027648926,-0.8224480152130127
1767829415367,1767829415.3669808,-3.207547187805176,3.125302314758301,-0.9495536088943481
1767829415430,1767829415.4269423,-2.908475160598755,3.05053448677063,-1.188811182975769
1767829415430,1767829415.4269617,-2.893521547317505,3.3570830821990967,-1.3308703899383545
