unix_ms,lsl_unix_ts,TP9,AF7,AF8,TP10,Right AUX
1767593597906,1767593597.856125,-22.94921875,-94.23828125,-46.875,-29.78515625,-111.328125
1767593597906,1767593597.8600314,-19.04296875,-39.0625,-49.8046875,-29.296875,-246.09375
1767593597906,1767593597.8639376,-24.90234375,-50.29296875,-44.921875,-37.59765625,-379.39453125
1767593597906,1767593597.8678439,-30.2734375,-84.47265625,-41.9921875,-36.1328125,-178.7109375
1767593597906,1767593597.87175,-29.78515625,-62.98828125,-45.41015625,-27.83203125,15.13671875
1767593597906,1767593597.8756564,-27.34375,-42.96875,-48.828125,-26.85546875,85.44921875
1767593597906,1767593597.8795626,-24.90234375,-63.4765625,-42.48046875,-31.25,13.671875
1767593597906,1767593597.8834689,-20.99609375,-80.078125,-37.109375,-27.83203125,-43.9453125
1767593597906,1767593597.887375,-22.94921875,-125.48828125,-40.0390625,-15.625,234.375
1767593597907,1767593597.8912814,-21.484375,-89.35546875,-41.015625,-11.23046875,437.98828125
1767593597907,1767593597.8951876,-16.11328125,5.37109375,-39.0625,-20.5078125,121.09375
1767593597907,1767593597.8990939,-14.6484375,-33.203125,-38.57421875,-26.3671875,-183.10546875
1767593598005,1767593597.928125,-13.671875,-42.96875,-37.109375,-20.5078125,-192.87109375
1767593598005,1767593597.9320312,-16.6015625,-20.01953125,-34.66796875,-20.99609375,-270.99609375
1767593598005,1767593597.9359374,-19.04296875,-52.734375,-32.71484375,-24.90234375,-327.63671875
1767593598005,1767593597.9398437,-19.53125,-87.40234375,-32.2265625,-25.87890625,-133.30078125
1767593598005,1767593597.94375,-17.08984375,-70.80078125,-31.25,-18.06640625,-82.51953125
1767593598005,1767593597.9476562,-15.625,-50.29296875,-32.71484375,-14.16015625,-142.08984375
1767593598005,1767593597.9515624,-18.5546875,-67.3828125,-34.1796875,-16.6015625,-23.4375
1767593598005,1767593597.9554687,-22.4609375,-88.37890625,-38.57421875,-22.94921875,180.6640625
1767593598005,1767593597.959375,-23.92578125,-49.8046875,-41.015625,-29.296875,52.734375
1767593598005,1767593597.9632812,-23.4375,-28.3203125,-39.0625,-21.97265625,-148.4375
1767593598005,1767593597.9671874,-21.97265625,-63.4765625,-40.0390625,-20.99609375,-52.734375
1767593598005,1767593597.9710937,-24.90234375,-97.65625,-36.1328125,-27.83203125,19.04296875
1767593598011,1767593597.960125,-30.76171875,-71.2890625,-31.73828125,-28.80859375,-189.94140625
1767593598011,1767593597.9640312,-29.296875,-47.8515625,-35.64453125,-20.01953125,-213.8671875
1767593598011,1767593597.9679375,-26.85546875,-75.1953125,-41.9921875,-22.94921875,-3.41796875
1767593598011,1767593597.9718437,-29.78515625,-83.49609375,-37.109375,-35.64453125,35.15625
1767593598011,1767593597.97575,-30.2734375,-68.84765625,-33.69140625,-38.57421875,-141.6015625
1767593598011,1767593597.9796562,-35.64453125,-80.078125,-39.55078125,-36.1328125,-83.49609375
1767593598011,1767593597.9835625,-30.76171875,-68.359375,-37.109375,-28.3203125,129.39453125
1767593598011,1767593597.9874687,-21.97265625,-118.65234375,-31.25,-17.578125,418.45703125
1767593598011,1767593597.991375,-22.94921875,-104.00390625,-33.203125,-18.5546875,348.14453125
1767593598011,1767593597.9952812,-25.87890625,-7.8125,-39.55078125,-31.73828125,-203.61328125
1767593598011,1767593597.9991875,-23.4375,-30.2734375,-36.62109375,-33.203125,-277.83203125
1767593598011,1767593598.0030937,-27.83203125,-42.48046875,-36.1328125,-28.3203125,-187.5
1767593598044,1767593597.990125,-27.83203125,-28.3203125,-41.50390625,-41.9921875,-246.58203125
1767593598044,1767593597.9940312,-23.92578125,-41.015625,-37.109375,-47.8515625,-148.92578125
1767593598044,1767593597.9979374,-26.85546875,-83.49609375,-35.15625,-33.69140625,-77.1484375
1767593598045,1767593598.0018437,-25.87890625,-123.53515625,-37.59765625,-19.53125,282.2265625
1767593598045,1767593598.00575,-21.484375,-79.1015625,-33.69140625,-26.3671875,366.69921875
1767593598045,1767593598.0096562,-25.390625,-27.34375,-34.66796875,-45.41015625,-30.2734375
1767593598045,1767593598.0135624,-25.390625,-55.6640625,-40.52734375,-42.48046875,-96.6796875
1767593598045,1767593598.0174687,-23.92578125,-33.69140625,-38.0859375,-29.78515625,-206.0546875
1767593598045,1767593598.021375,-14.6484375,-8.7890625,-34.1796875,-32.71484375,-394.04296875
1767593598048,1767593598.0252812,-12.20703125,-42.48046875,-30.76171875,-37.109375,-356.93359375
1767593598048,1767593598.0291874,-20.01953125,-81.54296875,-29.78515625,-32.71484375,-79.58984375
1767593598048,1767593598.0330937,-22.4609375,-50.29296875,-32.71484375,-28.3203125,51.7578125
1767593598096,1767593597.995125,-22.94921875,-14.16015625,-34.66796875,-28.3203125,-122.0703125
1767593598096,1767593597.9990313,-20.5078125,-56.15234375,-30.76171875,-25.87890625,-154.296875
1767593598096,1767593598.0029376,-10.7421875,-95.21484375,-23.92578125,-15.13671875,-43.9453125
1767593598096,1767593598.0068438,-4.8828125,-48.33984375,-24.90234375,-14.16015625,-63.96484375
1767593598096,1767593598.01075,-14.6484375,-41.9921875,-33.69140625,-32.71484375,-79.1015625
1767593598096,1767593598.0146563,-18.06640625,-77.1484375,-43.9453125,-44.921875,-23.4375
