TimeStamp,unix_ms,lsl_unix_ts,TP9,AF7,AF8,TP10
2025-12-28 21:19:06.642,1766974746642,1766974746.642,792.96704,798.60803,806.26373,778.86444
2025-12-28 21:19:06.642,1766974746642,1766974746.642,796.5934,803.0403,805.8608,788.5348
2025-12-28 21:19:06.642,1766974746642,1766974746.642,804.2491,807.47253,809.0842,791.75824
2025-12-28 21:19:06.642,1766974746642,1766974746.642,800.6227,809.4872,810.696,782.8938
2025-12-28 21:19:06.643,1766974746643,1766974746.643,792.96704,802.6374,811.0989,776.04395
2025-12-28 21:19:06.729,1766974746729,1766974746.729,786.52014,794.57874,807.47253,767.98535
2025-12-28 21:19:06.730,1766974746730,1766974746.73,784.90845,791.3553,799.41394,757.1062
2025-12-28 21:19:06.732,1766974746732,1766974746.732,796.5934,796.5934,805.05493,761.9414
2025-12-28 21:19:06.732,1766974746732,1766974746.732,794.17584,794.17584,799.011,764.35895
2025-12-28 21:19:06.732,1766974746732,1766974746.732,796.99634,797.3993,801.8315,765.16486
2025-12-28 21:19:06.733,1766974746733,1766974746.733,805.4579,801.8315,801.8315,761.9414
2025-12-28 21:19:06.733,1766974746733,1766974746.733,803.44324,805.05493,804.2491,763.1502
2025-12-28 21:19:06.733,1766974746733,1766974746.733,792.96704,801.8315,803.44324,760.7326
2025-12-28 21:19:06.733,1766974746733,1766974746.733,795.38464,807.47253,803.8461,764.7619
2025-12-28 21:19:06.734,1766974746734,1766974746.734,800.6227,809.4872,807.0696,767.5824
2025-12-28 21:19:06.734,1766974746734,1766974746.734,803.0403,802.6374,804.2491,761.13556
2025-12-28 21:19:06.734,1766974746734,1766974746.734,799.41394,805.8608,804.65204,763.5531
2025-12-28 21:19:06.771,1766974746771,1766974746.771,790.14655,805.05493,799.011,766.3736
2025-12-28 21:19:06.772,1766974746772,1766974746.772,789.34064,802.23444,798.20514,756.7033
2025-12-28 21:19:06.772,1766974746772,1766974746.772,796.1905,802.23444,805.8608,757.1062
2025-12-28 21:19:06.772,1766974746772,1766974746.772,794.9817,801.4286,803.44324,761.53845
2025-12-28 21:19:06.773,1766974746773,1766974746.773,789.7436,805.8608,801.8315,758.71796
2025-12-28 21:19:06.773,1766974746773,1766974746.773,789.34064,805.8608,801.02563,754.2857
2025-12-28 21:19:06.773,1766974746773,1766974746.773,791.75824,801.02563,798.60803,754.68866
