unix_ms,rel_timestamp,frame,ipd,event,gaze_target_world_pos_x,gaze_target_world_pos_y,gaze_target_world_pos_z,gaze_target_screen_pos_x,gaze_target_screen_pos_y,gaze_target_screen_pos_z,gaze_direction_x,gaze_direction_y,gaze_direction_z,gaze_target_distance,gaze_target_name,head_target_world_pos_x,head_target_world_pos_y,head_target_world_pos_z,head_target_screen_pos_x,head_target_screen_pos_y,head_target_screen_pos_z,head_direction_x,head_direction_y,head_direction_z,head_position_x,head_position_y,head_position_z,head_target_distance,head_target_name,gaze_head_rel_direction_x,gaze_head_rel_direction_y,gaze_head_rel_direction_z,gaze_head_angle_diff
1767829619980,0.7331696,1260,60,Eye Hit,-2.639233,3.117655,8.8,745.2443,849.1144,10.85428,0.03535228,0.1473889,0.9884466,10.91674,NorthWalkingSignal,-3.13495,2.294153,13.8,721.0978,792,15.81052,-0.006943862,0.04968238,0.9987409,-3.025164,1.508649,-1.990611,15.81052,NorthBuildings_NoColliders,0.04085678,0.09868893,0.9942793,6.131557
1767829619997,0.7504349,1261,60,Eye Hit,-2.639785,3.117649,8.8,744.1484,848.9452,10.85508,0.03535228,0.1473891,0.9884466,10.9164,NorthWalkingSignal,-3.106559,2.298733,13.8,721.0978,792,15.81023,-0.005114083,0.04997023,0.9987376,-3.025704,1.508692,-1.990274,15.81023,NorthBuildings_NoColliders,0.0389674,0.09840657,0.9943831,6.075606
1767829620020,0.7721977,1262,60,Eye Hit,-2.580573,3.130563,8.8,746.2825,849.5629,10.85622,0.04081025,0.1485283,0.9880658,10.92034,NorthWalkingSignal,-3.079431,2.301495,13.8,721.0978,792,15.81,-0.003364673,0.05015248,0.9987359,-3.026235,1.508584,-1.990016,15.81,NorthBuildings_NoColliders,0.04264485,0.09944856,0.9941285,6.211893
1767829620037,0.790102,1263,60,Eye Hit,-2.581728,3.130339,8.8,744.2012,849.3629,10.85752,0.04081049,0.1485282,0.9880658,10.91967,NorthWalkingSignal,-3.024375,2.306075,13.8,721.0978,792,15.80948,0.0001890994,0.05045159,0.9987265,-3.027365,1.508461,-1.989348,15.80948,NorthBuildings_NoColliders,0.03905629,0.09912103,0.9943087,6.115775
1767829620061,0.8132,1264,60,Eye Hit,-2.538754,3.14392,8.8,744.3721,850.3241,10.85879,0.04484266,0.1497151,0.9877118,10.92288,NorthWalkingSignal,-2.967505,2.299679,13.8,721.098,792,15.80858,0.003862514,0.05004111,0.9987397,-3.028566,1.5086,-1.988657,15.80858,NorthBuildings_NoColliders,0.03934512,0.1007642,0.9941321,6.209999
1767829620089,0.8414345,1265,60,Eye Hit,-2.621259,3.277538,8.8,737.1254,858.139,10.86408,0.03740511,0.1617294,0.986126,10.93954,NorthWalkingSignal,-2.889943,2.274856,13.8,721.098,792,15.80699,0.008889127,0.04849521,0.9987839,-3.030454,1.508292,-1.987765,15.80699,NorthBuildings_NoColliders,0.02679893,0.1141473,0.9931023,6.733477
1767829620117,0.8687878,1266,60,Eye Hit,-2.705552,3.391541,8.8,731.95,865.713,10.86505,0.02973763,0.1719062,0.9846644,10.95558,NorthWalkingSignal,-2.870957,2.229726,13.8,721.0982,792,15.80486,0.010148,0.04565163,0.9989059,-3.031345,1.508208,-1.98757,15.80486,NorthBuildings_NoColliders,0.01784255,0.1270439,0.9917366,7.370836
1767829620144,0.8932323,1267,60,Eye Hit,-2.704265,3.390869,8.8,731.1866,866.9974,10.86169,0.0299988,0.1718638,0.9846638,10.95505,NorthWalkingSignal,-2.84527,2.193468,13.8,721.0984,792,15.80303,0.01187326,0.04336991,0.9989885,-3.032903,1.508092,-1.987044,15.80303,NorthBuildings_NoColliders,0.0165217,0.1292239,0.9914778,7.485507
1767829620166,0.9173241,1268,60,Eye Hit,-2.705912,3.390554,8.8,731.1981,868.1368,10.85845,0.02999857,0.1718637,0.9846639,10.95458,NorthWalkingSignal,-2.844377,2.161987,13.8,721.0984,792,15.80127,0.01203426,0.04139717,0.9990703,-3.034533,1.507859,-1.98658,15.80127,NorthBuildings_NoColliders,0.0165363,0.1311538,0.9912242,7.596261
1767829620189,0.9408913,1269,60,Eye Hit,-2.733267,3.395696,8.8,730.5633,868.7104,10.85723,0.02757964,0.1723465,0.9846503,10.95459,NorthWalkingSignal,-2.865341,2.153659,13.8,721.0986,792,15.80056,0.01076224,0.04088132,0.999106,-3.035391,1.507711,-1.986435,15.80056,NorthBuildings_NoColliders,0.01544071,0.1321268,0.9911126,7.644471
